Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1979,1979,1979,,0,,http://reference.data.gov.uk/id/year/1979
1980,1980,1980,,1,,http://reference.data.gov.uk/id/year/1980
1981,1981,1981,,2,,http://reference.data.gov.uk/id/year/1981
1982,1982,1982,,3,,http://reference.data.gov.uk/id/year/1982
1983,1983,1983,,4,,http://reference.data.gov.uk/id/year/1983
1984,1984,1984,,5,,http://reference.data.gov.uk/id/year/1984
1985,1985,1985,,6,,http://reference.data.gov.uk/id/year/1985
1986,1986,1986,,7,,http://reference.data.gov.uk/id/year/1986
1987,1987,1987,,8,,http://reference.data.gov.uk/id/year/1987
1988,1988,1988,,9,,http://reference.data.gov.uk/id/year/1988
1989,1989,1989,,10,,http://reference.data.gov.uk/id/year/1989
1990,1990,1990,,11,,http://reference.data.gov.uk/id/year/1990
1991,1991,1991,,12,,http://reference.data.gov.uk/id/year/1991
1992,1992,1992,,13,,http://reference.data.gov.uk/id/year/1992
1993,1993,1993,,14,,http://reference.data.gov.uk/id/year/1993
1994,1994,1994,,15,,http://reference.data.gov.uk/id/year/1994
1995,1995,1995,,16,,http://reference.data.gov.uk/id/year/1995
1996,1996,1996,,17,,http://reference.data.gov.uk/id/year/1996
1997,1997,1997,,18,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,19,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,20,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,21,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,22,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,23,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,24,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,25,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,26,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,27,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,28,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,29,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,30,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,31,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,32,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,33,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,34,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,35,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,36,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,37,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,38,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,39,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,40,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,41,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,42,,http://reference.data.gov.uk/id/year/2021
